time_s,obj_id,class,pred_cx_m,pred_cy_m,pred_w_m,pred_h_m,confidence,is_spurious,method
0.0,101,truck,18.932595086674958,-59.693853902698194,2.267904129220014,4.682103056961306,0.7889127287152213,False,baseline
0.0,102,berm,6.344078880787489,24.460203971928667,3.2080753319498365,11.357123666297637,0.8643670671351158,False,baseline
0.0,103,truck,-15.542891490203719,60.378463701004414,2.2522219165222683,4.924026976029198,0.593276410450277,False,baseline
0.5,101,truck,19.712688710906136,-59.70530674782732,2.2170549546168044,4.557869782651225,0.5083236381851572,False,baseline
0.5,102,berm,8.708927916795593,25.16451354994237,3.342652757641764,11.049448152205358,0.7631226928366147,False,baseline
0.5,103,truck,-19.210326957311402,59.8790517273229,2.2982122794713042,5.239743403408506,0.7230877974464669,False,baseline
1.0,102,berm,7.539992731668522,24.821767382402737,3.1940497538990957,10.601896687959666,0.649540146080309,False,baseline
1.0,103,truck,-17.315928966741566,60.26377164534011,2.3895434252883474,5.116090781698498,0.9040045877775077,False,baseline
1.5,101,truck,19.312771770317156,-58.09920804735416,2.3303532490625845,4.483800066212431,0.8796299959675811,False,baseline
1.5,102,berm,7.223846141222539,24.518313238158846,3.4973103176553115,11.364375554829845,0.6596209615840837,False,baseline
1.5,-1,truck,-8.982056394239404,-12.873900344646644,2.7642401720837335,3.70804732917438,0.05,True,baseline
2.0,102,berm,9.810738465162109,25.167594700318567,3.3986325586084147,11.162777042116918,0.6185712529801022,False,baseline
2.0,103,truck,-19.132606703045802,59.003779812254145,2.287775409943353,4.9817185549337495,0.7772847774616697,False,baseline
2.5,101,truck,20.379622947372468,-57.75778477834632,2.159817215665031,4.756803143786536,0.682778318188946,False,baseline
2.5,103,truck,-16.986252422892477,59.58864583900996,2.2409144345740137,4.9577536582126775,0.8848520148448684,False,baseline
3.0,102,berm,7.248076839357212,24.690820944442553,3.4820275826054505,10.584567841783024,0.6133331034227841,False,baseline
3.0,103,truck,-20.131736862503868,59.64309816586909,2.369939681426449,4.844892114888851,0.6528330343639066,False,baseline
3.0,-1,berm,6.119155419701497,-42.58992123257337,2.6296084353925195,5.3251056615142005,0.5835747210684814,True,baseline
3.5,101,truck,21.97961432672743,-56.99708583843647,2.153235891002063,4.509172370485662,0.7766751074430328,False,baseline
3.5,102,berm,8.265623167356818,25.794095919074582,3.3619502837816864,11.926767038578658,0.39582147176118115,False,baseline
3.5,103,truck,-18.83358302899665,58.118219055586096,2.227586761111834,5.206576684038241,0.6294985595278445,False,baseline
4.0,101,truck,22.477387980083186,-57.51122028331095,2.303007493860101,4.832587494460646,0.8472999325391637,False,baseline
4.0,102,berm,8.343475865934352,25.538353145313504,3.5224576864762915,11.726901026017453,0.7973222578032358,False,baseline
4.0,-1,truck,50.30747149167345,0.25572304592212786,2.798528796783251,4.9882026105041115,0.3772820336045058,True,baseline
4.5,101,truck,21.98080396875219,-57.81327623217606,2.0611503495019505,4.551460908387328,0.7251792881919455,False,baseline
4.5,102,berm,8.061708818331644,23.965365013187867,3.2527044436110053,11.53979887446734,0.6852794597872567,False,baseline
4.5,103,truck,-17.81373038305265,58.54561533850068,2.241514327825987,5.139466653795015,0.8553725744286683,False,baseline
5.0,101,truck,21.500625672457502,-55.405150338616174,2.2065752908849636,4.416430618697884,0.9003042998044085,False,baseline
5.0,102,berm,10.037269949132128,25.991166650129102,3.132094505106898,10.957882963566876,0.8655572490823014,False,baseline
5.0,103,truck,-19.474643616610678,59.297125453253415,2.2380557859100456,4.830166877273757,0.6877936384844395,False,baseline
5.0,-1,berm,-4.494425128889787,-16.298266993909124,2.0351053413841065,6.347996928450323,0.3284042225770762,True,baseline
5.5,101,truck,23.085061153772777,-56.57894896528894,2.0502623017511343,4.736108152335493,0.6631959535375448,False,baseline
5.5,102,berm,7.895842026979027,24.533024544589733,3.391139739192859,11.642495233593333,0.8014686882983211,False,baseline
5.5,103,truck,-18.55505339846367,58.11361588041592,2.270729952087661,5.222893976738767,0.7309256810026846,False,baseline
5.5,-1,truck,-24.854478527461936,44.71827135259487,1.645057166698502,4.547097381170038,0.20908416991550852,True,baseline
6.0,102,berm,7.578062839544694,24.497739430156376,3.5023714481671497,11.080387601065123,0.7664904825966827,False,baseline
6.0,103,truck,-19.61931865692897,56.214508144095866,2.449238727568546,4.813646089162567,0.5617316089584959,False,baseline
6.5,101,truck,23.54687188376733,-56.02722762413402,2.172283828848789,4.675023946683551,0.6746308816311908,False,baseline
6.5,102,berm,9.303565556575988,24.584028729373543,3.3905734091291206,11.479554601307264,0.899462797886332,False,baseline
6.5,-1,truck,-49.26123210317943,-71.29765772402486,2.942019368325603,3.697675757923692,0.32999660670615255,True,baseline
6.5,-1,truck,-28.953083024331303,-3.806605195990016,2.241027033259365,4.690143991711112,0.2998463595949422,True,baseline
7.0,101,truck,24.07106263179562,-55.77647023271141,2.2897998291245454,4.7702287215590085,0.6771138528890612,False,baseline
7.0,102,berm,9.743444278634062,24.89350534179567,3.506446368972165,10.473575270463819,0.9224530949857345,False,baseline
7.0,103,truck,-20.24580619674949,56.828085736746075,2.427617083921589,5.2538453635918625,0.6241037784173162,False,baseline
7.0,-1,truck,51.683051890037014,-2.5763890527167215,1.8306672866076734,4.295477524423183,0.21978698981305772,True,baseline
7.0,-1,berm,43.32357091907116,0.18352949013641082,2.028188356258845,3.5499345285207564,0.6250584548332366,True,baseline
7.5,101,truck,23.86066756955238,-55.180978548499596,2.165151346344345,4.790230395104505,0.7457519650505627,False,baseline
7.5,103,truck,-18.75691758865138,56.869560911601745,2.376863155753235,4.822892221369477,0.9093274101739679,False,baseline
7.5,-1,truck,50.55185771936338,52.582496823360984,2.044456868251865,5.628615545571292,0.17574455119672494,True,baseline
8.0,102,berm,8.764549212508474,26.0777705774061,3.1438206359256005,11.138544346724274,0.7108662298004097,False,baseline
8.0,103,truck,-20.888977902824873,55.93982806661776,2.335514232050124,4.818211639574503,0.8552442230279577,False,baseline
8.5,101,truck,23.24701665601117,-55.43150333313329,2.120212210741115,4.872945026583278,0.6996516234887046,False,baseline
9.0,101,truck,25.15742122000526,-54.010399967958314,2.3157507710047307,4.373899770477895,0.40660116500474586,False,baseline
9.0,102,berm,7.701704705967494,25.817346008683675,3.2118096231305193,11.214310279783914,0.8137840459147632,False,baseline
9.0,103,truck,-21.148382444293862,54.773903284527066,2.0977746290402326,4.894521101045433,0.6572305844289024,False,baseline
9.0,-1,berm,31.869744282987817,2.707890767666641,1.4832294792030418,5.5231240772696575,0.48468504652688904,True,baseline
9.5,101,truck,23.575695879858273,-55.64262487086637,2.296296923669057,4.349871486175635,0.8251463589295378,False,baseline
9.5,102,berm,7.47663756864143,22.597350859204273,3.4626963302332756,11.395126634491572,0.8160730839754308,False,baseline
9.5,103,truck,-19.627559835199364,55.345359013212054,2.315138712337179,4.664383811747692,0.8367393073892253,False,baseline
10.0,101,truck,23.470838245236507,-53.75066639834738,2.1495683374895593,4.607718491755476,0.25434995238727115,False,baseline
10.0,102,berm,6.453434614442988,24.42211006825947,3.474037664195304,11.753164552414221,0.9296731371329492,False,baseline
10.0,-1,truck,-27.891333941466687,5.94052495366308,2.0536363514873894,4.488044079378749,0.5316350399633784,True,baseline
10.0,-1,truck,-14.415693814286358,13.80582498324039,1.7474093115078422,4.289774856896413,0.6519895532566305,True,baseline
