time_s,target_speed_mps,measured_latency_ms,method
0.0,6.5,107.41849851679858,proposed
0.5,6.552353896615746,110.56725980812075,proposed
1.0,6.6046719124858875,111.45974114627974,proposed
1.5,6.65691819145569,107.01836688578801,proposed
2.0,6.709056926535307,116.49865440453745,proposed
2.5,6.761052384440103,106.218683779446,proposed
3.0,6.8128689300804615,108.57206705328676,proposed
3.5,6.864471050984295,102.01069630032735,proposed
4.0,6.915823381635518,108.08211492644215,proposed
4.5,6.966890727711811,107.68573844297448,proposed
5.0,7.0176380902050415,108.30153799709271,proposed
5.5,7.068030689407845,112.40788463955569,proposed
6.0,7.118033988749895,115.21768852089504,proposed
6.5,7.167613718467542,112.93219029963963,proposed
7.0,7.216735899090601,108.08919148038039,proposed
7.5,7.265366864730179,109.28718194331964,proposed
8.0,7.3134732861516,114.59252002884286,proposed
8.5,7.3610221936165905,104.49548533882968,proposed
9.0,7.4079809994790935,111.6395788211091,proposed
9.5,7.454317520519217,104.94789163870267,proposed
10.0,7.5,113.07245583553745,proposed
10.5,7.544997129431898,107.96458068450195,proposed
11.0,7.589278070030054,104.9814191594775,proposed
11.5,7.632812473849666,105.86906880316651,proposed
12.0,7.675570504584946,106.50413230881608,proposed
12.5,7.717522858017441,112.31177560705076,proposed
13.0,7.758640782099675,113.85779507301535,proposed
13.5,7.798896096660367,106.89231480510676,proposed
14.0,7.8382612127177165,105.01018557931194,proposed
14.5,7.876709151387508,116.61916233034547,proposed
15.0,7.914213562373095,111.77605037664821,proposed
15.5,7.950748742024575,105.39868172676444,proposed
16.0,7.986289650954788,109.93800002853062,proposed
16.5,8.020811931200061,106.85096771574608,proposed
17.0,8.054291922913942,103.35931085881933,proposed
17.5,8.08670668058247,107.25980650227253,proposed
18.0,8.118033988749895,103.01732752277579,proposed
18.5,8.148252377244031,106.57783156915484,proposed
19.0,8.177341135890849,106.95294606988067,proposed
19.5,8.205280328708184,106.34109983203037,proposed
20.0,8.232050807568877,112.14381601221382,proposed
20.5,8.25763422532393,110.11731090464136,proposed
21.0,8.282013048376735,105.94300619280614,proposed
21.5,8.30517056869972,109.79075992921676,proposed
22.0,8.3270909152852,113.72382393919186,proposed
22.5,8.347759065022574,105.18027551962375,proposed
23.0,8.367160852994404,103.2436755290029,proposed
23.5,8.385282982184357,104.16181636039555,proposed
24.0,8.402113032590307,110.0060719124038,proposed
24.5,8.417639469736386,114.45930938069209,proposed
25.0,8.431851652578137,111.8912636778231,proposed
25.5,8.444739840795354,113.6396979131012,proposed
26.0,8.456295201467611,99.7026468970137,proposed
26.5,8.466509815127909,105.16664600454199,proposed
27.0,8.475376681190275,104.0287137807666,proposed
27.5,8.48288972274762,110.73447357177562,proposed
28.0,8.489043790736547,107.70263169924037,proposed
28.5,8.493834667466256,96.50189535733809,proposed
29.0,8.497259069509148,111.53876011175215,proposed
29.5,8.499314649951115,113.17232392916581,proposed
30.0,8.5,116.53773507014415,proposed
30.5,8.499314649951115,109.16018767998358,proposed
31.0,8.497259069509148,110.97609807667838,proposed
31.5,8.493834667466256,103.93487757330003,proposed
32.0,8.489043790736547,101.93331460431294,proposed
32.5,8.48288972274762,113.47402273235151,proposed
33.0,8.475376681190275,110.68830414685115,proposed
33.5,8.46650981512791,113.49471948398728,proposed
34.0,8.456295201467611,107.47703735376122,proposed
34.5,8.444739840795354,117.98027590264056,proposed
35.0,8.431851652578137,109.75234245576038,proposed
35.5,8.417639469736386,105.48559018922639,proposed
36.0,8.402113032590307,107.22819756405443,proposed
36.5,8.385282982184357,102.08452238626346,proposed
37.0,8.367160852994404,104.73064037681934,proposed
37.5,8.347759065022574,106.95159203643125,proposed
38.0,8.327090915285202,114.69914851462946,proposed
38.5,8.30517056869972,108.23670508114138,proposed
39.0,8.282013048376736,112.83747075000463,proposed
39.5,8.25763422532393,108.1005622522615,proposed
40.0,8.232050807568877,104.39563644579837,proposed
40.5,8.205280328708184,110.68201166941965,proposed
41.0,8.177341135890849,105.12079736486085,proposed
41.5,8.148252377244031,106.9118282336789,proposed
42.0,8.118033988749895,116.6263795057226,proposed
42.5,8.08670668058247,110.91804958916363,proposed
43.0,8.054291922913942,105.21876535743661,proposed
43.5,8.020811931200063,111.42842834325629,proposed
44.0,7.986289650954789,104.74888260946213,proposed
44.5,7.950748742024575,101.48372409883923,proposed
45.0,7.914213562373096,112.86997901016528,proposed
45.5,7.876709151387508,109.67933720841079,proposed
46.0,7.8382612127177165,107.71101195107767,proposed
46.5,7.798896096660368,101.83828661702864,proposed
47.0,7.758640782099675,107.23868966153469,proposed
47.5,7.717522858017441,109.26890641953449,proposed
48.0,7.675570504584947,103.83770028019498,proposed
48.5,7.6328124738496665,108.66903750351257,proposed
49.0,7.589278070030055,114.70127900772702,proposed
49.5,7.544997129431898,109.40646974983972,proposed
50.0,7.5,110.83735311134168,proposed
50.5,7.454317520519217,106.74067322267089,proposed
51.0,7.4079809994790935,104.29563133257253,proposed
51.5,7.361022193616591,106.25384726779102,proposed
52.0,7.3134732861516,112.71973102750346,proposed
52.5,7.26536686473018,108.11091294608275,proposed
53.0,7.216735899090601,107.69103176252584,proposed
53.5,7.167613718467543,106.47760002892844,proposed
54.0,7.118033988749895,103.41418727905837,proposed
54.5,7.068030689407846,113.96948423283006,proposed
55.0,7.0176380902050415,107.66771880253835,proposed
55.5,6.966890727711811,106.37385162464268,proposed
56.0,6.915823381635518,108.81888764376201,proposed
56.5,6.864471050984296,106.38177481608898,proposed
57.0,6.812868930080462,109.75155214718465,proposed
57.5,6.761052384440103,105.76168048690968,proposed
58.0,6.709056926535307,108.99438331715447,proposed
58.5,6.6569181914556905,108.28972395221037,proposed
59.0,6.6046719124858875,115.92188086971706,proposed
59.5,6.552353896615747,116.14185558988501,proposed
60.0,6.500000000000001,111.64989683813131,proposed
60.5,6.447646103384254,160.64681926906164,proposed
61.0,6.3953280875141125,164.21226095314475,proposed
61.5,6.34308180854431,164.0848397534662,proposed
62.0,6.290943073464694,159.1191922995268,proposed
62.5,6.238947615559898,154.40142990241807,proposed
63.0,6.1871310699195385,153.38791486440945,proposed
63.5,6.135528949015705,160.52393033143758,proposed
64.0,6.084176618364482,158.98014220583403,proposed
64.5,6.033109272288189,158.82349867421723,proposed
65.0,5.982361909794959,157.78136275081076,proposed
65.5,5.931969310592154,157.6076476663615,proposed
66.0,5.881966011250105,163.6193610095766,proposed
66.5,5.832386281532458,148.88336301873585,proposed
67.0,5.7832641009094,163.35306984132592,proposed
67.5,5.734633135269821,159.89583961603265,proposed
68.0,5.6865267138484,166.76297077791483,proposed
68.5,5.6389778063834095,162.0652773940637,proposed
69.0,5.5920190005209065,154.0676245880659,proposed
69.5,5.545682479480783,153.51378704920057,proposed
70.0,5.500000000000001,156.4303295309637,proposed
70.5,5.455002870568102,162.05855879629527,proposed
71.0,5.410721929969946,154.1485118094623,proposed
71.5,5.367187526150334,161.4414760175689,proposed
72.0,5.324429495415054,163.80965250799952,proposed
72.5,5.282477141982559,158.88823710976615,proposed
73.0,5.241359217900325,157.44788364083377,proposed
73.5,5.201103903339633,152.3961522320032,proposed
74.0,5.1617387872822835,167.04038479428712,proposed
74.5,5.123290848612492,168.30708000040877,proposed
75.0,5.085786437626905,165.8792990648204,proposed
75.5,5.049251257975425,159.89348531875123,proposed
76.0,5.013710349045212,160.78535660975288,proposed
76.5,4.979188068799937,163.74241419287355,proposed
77.0,4.945708077086058,161.58654903369666,proposed
77.5,4.91329331941753,148.53620436519932,proposed
78.0,4.881966011250105,164.67249838641382,proposed
78.5,4.851747622755969,165.8757659515915,proposed
79.0,4.822658864109152,165.28713894044986,proposed
79.5,4.794719671291816,162.8091184302382,proposed
80.0,4.767949192431123,164.8322708783585,proposed
80.5,4.74236577467607,155.3485616145806,proposed
81.0,4.717986951623265,160.62575345525102,proposed
81.5,4.694829431300279,158.32540450392602,proposed
82.0,4.672909084714799,166.80558070056847,proposed
82.5,4.652240934977427,161.73587087664094,proposed
83.0,4.632839147005596,160.3638831014307,proposed
83.5,4.614717017815643,156.92839494822192,proposed
84.0,4.597886967409693,156.76282366626646,proposed
84.5,4.582360530263614,156.48560759417148,proposed
85.0,4.568148347421863,163.98060475774346,proposed
85.5,4.555260159204646,183.39182874136185,proposed
86.0,4.543704798532389,182.00041744138576,proposed
86.5,4.533490184872091,184.16459711976145,proposed
87.0,4.524623318809725,177.7779216145833,proposed
87.5,4.51711027725238,173.62532791017725,proposed
88.0,4.510956209263454,183.73323802660363,proposed
88.5,4.506165332533744,180.77499278740225,proposed
89.0,4.502740930490852,184.33139083723583,proposed
89.5,4.500685350048885,182.7043528343438,proposed
90.0,4.5,180.70588472854843,proposed
90.5,4.500685350048885,181.82234488627446,proposed
91.0,4.502740930490852,186.63635588224568,proposed
91.5,4.506165332533744,179.83952247267243,proposed
92.0,4.510956209263453,183.94704755949186,proposed
92.5,4.51711027725238,182.23634397589632,proposed
93.0,4.5246233188097245,174.301335127146,proposed
93.5,4.5334901848720905,175.74379708767626,proposed
94.0,4.543704798532389,180.84154617322807,proposed
94.5,4.555260159204646,179.00921680005968,proposed
95.0,4.568148347421864,177.1996673067678,proposed
95.5,4.582360530263614,185.28295936889964,proposed
96.0,4.597886967409693,175.0183749998519,proposed
96.5,4.614717017815643,180.20543747479238,proposed
97.0,4.632839147005596,177.50398693784376,proposed
97.5,4.652240934977426,186.9311243407257,proposed
98.0,4.672909084714798,191.07006783094107,proposed
98.5,4.6948294313002785,179.75510518200983,proposed
99.0,4.717986951623264,184.394478646504,proposed
99.5,4.7423657746760695,186.07900117685608,proposed
100.0,4.767949192431123,184.59490097247456,proposed
100.5,4.794719671291816,184.16418430333638,proposed
101.0,4.822658864109151,173.90866085880566,proposed
101.5,4.851747622755968,185.70522128707364,proposed
102.0,4.881966011250105,182.43709968554003,proposed
102.5,4.913293319417529,180.08382385076433,proposed
103.0,4.945708077086057,180.68759329482725,proposed
103.5,4.979188068799937,182.03140729254338,proposed
104.0,5.013710349045212,179.98398004334038,proposed
104.5,5.049251257975426,179.5803494497054,proposed
105.0,5.085786437626904,177.08925377842107,proposed
105.5,5.123290848612492,183.04067494865274,proposed
106.0,5.1617387872822835,180.3537075312044,proposed
106.5,5.201103903339633,177.82837790143756,proposed
107.0,5.2413592179003246,181.3910907016815,proposed
107.5,5.282477141982558,181.17131248151904,proposed
